"","commodity_scrCountry","month","sd_mean_div"
"315","31664_76",2016-10-01,4.08343476614844
"316","31190_107",2016-05-01,4.07666683821961
"317","31808_76",2016-10-01,4.07561279692405
"318","35660_236",2016-06-01,4.07161321283365
"319","36988_22",2015-06-01,4.07049078313505
"320","31084_76",2015-07-01,4.06936991711732
"321","29996_76",2016-07-01,4.06849845514907
"322","34801_76",2015-04-01,4.06817868495418
"323","31304_76",2016-11-01,4.0655781437825
"324","37290_236",2016-02-01,4.06382117282303
"325","29996_76",2016-11-01,4.06235690101744
"326","37407_107",2015-05-01,4.06021983168897
"327","31068_76",2016-03-01,4.05954424323815
"328","31131_76",2016-07-01,4.05903987311536
"329","30889_22",2016-05-01,4.05799665885239
"330","30640_83",2015-03-01,4.05603480164037
"331","32654_178",2016-10-01,4.05495569529243
"332","31060_22",2015-03-01,4.05456572342402
"333","30957_22",2015-05-01,4.04982338968397
"334","34945_83",2016-08-01,4.03543633636971
"335","36498_236",2015-01-01,4.03399215675184
"336","34958_210",2015-06-01,4.03311110545275
"337","31060_22",2016-02-01,4.02639012589147
"338","30640_83",2015-01-01,4.02390885662275
"339","32632_107",2015-12-01,4.02159516382389
"340","37278_83",2016-01-01,4.02111473552521
"341","32363_236",2016-10-01,4.02052075795694
"342","32654_178",2015-05-01,4.01975133560552
"343","31131_76",2016-02-01,4.0166482025735
"344","31810_236",2015-05-01,4.01432148632938
"345","36207_76",2016-07-01,4.0135075455351
"346","35681_236",2015-03-01,4.00905921702371
"347","30476_83",2015-07-01,4.00828809096626
"348","31147_76",2016-09-01,4.0078783372591
"349","30889_22",2016-02-01,4.00607057309477
"350","36679_83",2015-03-01,4.00475526083051
"351","31049_83",2016-10-01,4.00394288314568
"352","31088_83",2016-05-01,4.00393911812718
"353","34532_110",2015-07-01,4.00212217129957
"354","30640_83",2016-06-01,4.00013149626876
"355","31579_22",2015-03-01,3.99967561548249
"356","30640_83",2016-03-01,3.99462647260746
"357","31678_76",2016-06-01,3.99416114870225
"358","34952_76",2016-11-01,3.99363440299269
"359","31060_22",2015-05-01,3.9874661087203
"360","29996_210",2016-05-01,3.98606580783003
"361","32632_107",2015-03-01,3.98497304540588
"362","31164_60",2015-04-01,3.98328653526454
"363","32632_107",2015-02-01,3.97850408085456
"364","29757_236",2016-05-01,3.97416722401412
"365","30519_76",2016-08-01,3.97221264106328
"366","31088_83",2016-07-01,3.97185342918698
"367","35180_210",2015-05-01,3.96883790567832
"368","37883_236",2016-08-01,3.96746504377992
"369","37391_130",2016-01-01,3.96457853972889
"370","29321_76",2015-07-01,3.96181647698711
"371","35602_236",2016-03-01,3.95748966116169
"372","31182_210",2016-05-01,3.95458257774858
"373","32654_76",2015-05-01,3.95250771231711
"374","35012_83",2015-02-01,3.94992239209612
"375","35602_178",2016-10-01,3.9465588247836
"376","37508_236",2016-01-01,3.94565421547626
"377","30519_76",2016-09-01,3.94355552876021
"378","35004_110",2016-06-01,3.93538249128101
"379","36679_76",2016-02-01,3.93373290293813
"380","36988_76",2016-06-01,3.9336161719377
"381","32632_101",2016-05-01,3.93110321173125
"382","31060_236",2016-01-01,3.92953028253191
"383","30054_76",2016-10-01,3.92461345693083
"384","35793_158",2016-01-01,3.92460502722944
"385","35004_110",2015-05-01,3.92002659187689
"386","37391_130",2015-03-01,3.91814399982287
"387","31164_60",2015-05-01,3.91782151141083
"388","37407_107",2015-04-01,3.9158307160625
"389","31145_236",2015-06-01,3.91485148744865
"390","35004_110",2016-08-01,3.91383969333194
"391","29321_76",2016-06-01,3.91378193645389
"392","36443_76",2016-11-01,3.91043424984616
"393","36889_216",2015-02-01,3.90885106970143
"394","29321_76",2016-08-01,3.90645461387553
"395","37061_236",2016-01-01,3.90331203206797
"396","34945_83",2015-01-01,3.90165532918501
"397","36836_110",2015-05-01,3.9013422199568
"398","36327_178",2016-02-01,3.90051638090194
"399","31293_83",2016-11-01,3.90030073613745
"400","31190_76",2015-03-01,3.89907261364649
"401","34945_83",2016-07-01,3.89823185957068
"402","31145_236",2015-02-01,3.89483633967504
"403","29321_76",2015-05-01,3.89397076432024
"404","30495_210",2015-04-01,3.89239582761308
"405","36327_178",2015-02-01,3.89229095171749
"406","30650_83",2015-04-01,3.89195110957337
"407","35138_60",2015-01-01,3.89165868794805
"408","30476_83",2015-05-01,3.89098120890455
"409","31147_76",2016-01-01,3.88709623326477
"410","34945_83",2016-03-01,3.88682812068339
"411","31182_15",2015-04-01,3.88655377930482
"412","35004_110",2015-07-01,3.88242852217573
"413","31848_76",2015-04-01,3.87762913479514
"414","35602_178",2015-02-01,3.87514934868728
"415","31182_236",2015-05-01,3.87482110624228
"416","37433_83",2015-02-01,3.87305238300479
"417","30622_83",2016-10-01,3.86704311867046
"418","35775_110",2016-11-01,3.86435997268874
"419","31068_76",2016-08-01,3.861991602791
"420","30476_83",2016-10-01,3.86049920361946
"421","30711_83",2016-05-01,3.85761532205048
"422","31147_76",2016-10-01,3.85734087658894
"423","30519_76",2015-04-01,3.85628771224667
"424","31131_76",2015-06-01,3.8561768439576
"425","31003_83",2016-05-01,3.85583662990291
"426","30462_76",2016-10-01,3.85512027494791
"427","37391_130",2015-02-01,3.85436241751107
"428","31848_76",2015-02-01,3.84914655353714
"429","31068_76",2016-02-01,3.84506827393561
"430","37391_130",2015-06-01,3.84423794295626
"431","36207_76",2016-10-01,3.84276353489362
"432","35793_158",2016-11-01,3.84181143563611
"433","31003_83",2015-03-01,3.83743130353133
"434","30650_83",2016-09-01,3.83160524496823
"435","37433_83",2016-07-01,3.82643735513766
"436","31190_76",2016-05-01,3.82539733891292
"437","31131_76",2016-09-01,3.82428230332066
"438","31678_216",2015-02-01,3.82425863476116
"439","37407_107",2015-12-01,3.82384380237225
"440","31308_236",2015-02-01,3.82000264868361
"441","35660_236",2015-02-01,3.81968169156543
"442","31182_236",2015-02-01,3.81929254223902
"443","29996_76",2016-09-01,3.81870689580062
"444","32612_216",2016-05-01,3.81783695282158
"445","34133_83",2015-04-01,3.8165469637327
"446","32634_216",2016-03-01,3.81541431166666
"447","34945_83",2016-05-01,3.81518022377487
"448","30889_22",2016-06-01,3.81223530694911
"449","37407_107",2016-05-01,3.8071640034225
"450","30640_83",2015-07-01,3.80408058061071
"451","35671_236",2016-10-01,3.80111803354352
"452","35163_83",2015-05-01,3.80057545166233
"453","35671_158",2016-02-01,3.79799939976208
"454","31679_216",2015-04-01,3.79474542540816
"455","36333_76",2016-09-01,3.79194904661972
"456","32363_236",2016-01-01,3.78794264569011
"457","36539_76",2016-11-01,3.78586093791518
"458","31060_22",2015-04-01,3.78308866127068
"459","31190_107",2015-04-01,3.78174296316423
"460","35012_83",2016-01-01,3.78108516833302
"461","35602_236",2016-01-01,3.77940347916318
"462","30626_22",2015-01-01,3.77875167272147
"463","30957_22",2016-06-01,3.77863465190352
"464","31848_76",2016-02-01,3.77714928196208
"465","32634_107",2016-10-01,3.77668217313275
"466","34958_210",2016-05-01,3.77256623303124
"467","34532_110",2015-04-01,3.77248913105394
"468","30889_22",2015-12-01,3.77059837392343
